timestamp,sector_id,ambient_temp_c,humidity_pct,ev_station_kw,industrial_load_kw,residential_load_kw,total_load_kw,is_peak_pricing,grid_frequency_hz,is_cyber_attack
2026-07-29 00:00:00,SECTOR_ALPHA,24.5,70,120,450,180,750,0,50.01,0
2026-07-29 01:00:00,SECTOR_ALPHA,23.8,73,80,420,150,650,0,49.98,0
2026-07-29 02:00:00,SECTOR_ALPHA,23.0,76,50,400,130,580,0,50.02,0
2026-07-29 03:00:00,SECTOR_ALPHA,22.5,78,40,390,120,550,0,49.99,0
2026-07-29 04:00:00,SECTOR_ALPHA,22.1,80,100,410,140,650,0,50.00,0
2026-07-29 05:00:00,SECTOR_ALPHA,23.0,75,220,520,220,960,0,49.95,0
2026-07-29 06:00:00,SECTOR_ALPHA,25.2,68,450,680,380,1510,1,49.91,0
2026-07-29 07:00:00,SECTOR_ALPHA,27.5,62,680,790,520,1990,1,49.85,0
2026-07-29 08:00:00,SECTOR_ALPHA,29.8,55,920,850,610,2380,1,49.82,0
2026-07-29 09:00:00,SECTOR_ALPHA,31.5,50,850,880,580,2310,1,49.88,0
2026-07-29 10:00:00,SECTOR_ALPHA,33.0,46,600,860,510,1970,0,49.94,0
2026-07-29 11:00:00,SECTOR_ALPHA,34.2,42,550,840,490,1880,0,49.97,0
2026-07-29 12:00:00,SECTOR_ALPHA,35.0,40,700,890,540,2130,0,49.96,0
2026-07-29 13:00:00,SECTOR_ALPHA,35.5,39,650,870,520,2040,0,49.98,0
2026-07-29 14:00:00,SECTOR_ALPHA,35.8,38,580,850,500,1930,0,49.99,0
2026-07-29 15:00:00,SECTOR_ALPHA,35.2,41,760,880,560,2200,1,49.89,0
2026-07-29 16:00:00,SECTOR_ALPHA,34.0,45,880,910,640,2430,1,49.81,0
2026-07-29 17:00:00,SECTOR_ALPHA,32.5,52,980,940,720,2640,1,49.78,0
2026-07-29 18:00:00,SECTOR_ALPHA,30.8,58,940,900,680,2520,1,49.83,0
2026-07-29 19:00:00,SECTOR_ALPHA,29.0,63,780,810,590,2180,1,49.88,0
2026-07-29 20:00:00,SECTOR_ALPHA,27.8,67,520,720,480,1720,0,49.95,0
2026-07-29 21:00:00,SECTOR_ALPHA,26.5,71,380,620,390,1390,0,49.99,0
2026-07-29 22:00:00,SECTOR_ALPHA,25.8,74,260,540,310,1110,0,50.01,0
2026-07-29 23:00:00,SECTOR_ALPHA,25.0,76,160,480,230,870,0,50.00,0
2026-07-30 00:00:00,SECTOR_BETA,24.2,71,140,460,190,790,0,50.00,0
2026-07-30 01:00:00,SECTOR_BETA,23.5,74,90,430,160,680,0,49.99,0
2026-07-30 02:00:00,SECTOR_BETA,22.8,77,60,410,140,610,0,53.20,1
2026-07-30 03:00:00,SECTOR_BETA,22.2,79,45,395,125,565,0,50.01,0
2026-07-30 04:00:00,SECTOR_BETA,21.8,81,110,415,145,670,0,50.00,0
2026-07-30 05:00:00,SECTOR_BETA,22.8,76,240,535,230,1005,0,49.94,0
2026-07-30 06:00:00,SECTOR_BETA,25.0,69,480,695,395,1570,1,49.90,0
2026-07-30 07:00:00,SECTOR_BETA,27.2,63,710,805,535,2050,1,49.84,0
2026-07-30 08:00:00,SECTOR_BETA,29.5,56,950,865,625,2440,1,49.81,0
2026-07-30 09:00:00,SECTOR_BETA,31.2,51,880,895,595,2370,1,49.87,0
2026-07-30 10:00:00,SECTOR_BETA,32.8,47,630,875,525,2030,0,49.93,0
2026-07-30 11:00:00,SECTOR_BETA,34.0,43,570,855,505,1930,0,49.96,0
2026-07-30 12:00:00,SECTOR_BETA,34.8,41,720,905,555,2180,0,49.95,0
2026-07-30 13:00:00,SECTOR_BETA,35.2,40,670,885,535,2090,0,49.97,0
2026-07-30 14:00:00,SECTOR_BETA,35.5,39,600,865,515,1980,0,49.98,0
2026-07-30 15:00:00,SECTOR_BETA,35.0,42,790,895,575,2260,1,49.88,0
2026-07-30 16:00:00,SECTOR_BETA,33.8,46,900,925,655,2480,1,49.80,0
2026-07-30 17:00:00,SECTOR_BETA,32.2,53,995,955,735,2685,1,49.77,0
2026-07-30 18:00:00,SECTOR_BETA,30.5,59,960,915,695,2570,1,49.82,0
2026-07-30 19:00:00,SECTOR_BETA,28.8,64,800,825,605,2230,1,49.87,0
2026-07-30 20:00:00,SECTOR_BETA,27.5,68,540,735,495,1770,0,49.94,0
2026-07-30 21:00:00,SECTOR_BETA,26.2,72,400,635,405,1440,0,49.98,0
2026-07-30 22:00:00,SECTOR_BETA,25.5,75,280,555,325,1160,0,50.00,0
2026-07-30 23:00:00,SECTOR_BETA,24.8,77,180,495,245,920,0,49.99,0
