timestamp,irradiance_wm2,panel_temp_c,cloud_cover_pct,solar_efficiency,generation_kw
2026-07-29 05:00:00,10,22.0,10,0.05,15
2026-07-29 06:00:00,150,26.5,15,0.42,168
2026-07-29 07:00:00,380,31.0,10,0.78,390
2026-07-29 08:00:00,620,36.5,15,0.89,580
2026-07-29 09:00:00,810,42.0,20,0.92,720
2026-07-29 10:00:00,940,46.8,15,0.95,850
2026-07-29 11:00:00,1020,50.2,10,0.96,930
2026-07-29 12:00:00,1050,52.5,15,0.95,960
2026-07-29 13:00:00,980,51.0,25,0.88,860
2026-07-29 14:00:00,860,48.5,30,0.82,750
2026-07-29 15:00:00,680,44.0,35,0.74,590
2026-07-29 16:00:00,450,39.0,40,0.62,380
2026-07-29 17:00:00,220,33.5,30,0.45,190
2026-07-29 18:00:00,40,27.0,20,0.12,30
2026-07-29 19:00:00,0,24.0,15,0.00,0
2026-07-30 05:00:00,8,21.5,15,0.04,12
2026-07-30 06:00:00,130,25.8,25,0.38,145
2026-07-30 07:00:00,340,30.2,20,0.72,350
2026-07-30 08:00:00,580,35.0,30,0.81,520
2026-07-30 09:00:00,750,40.5,35,0.84,650
2026-07-30 10:00:00,890,45.0,25,0.90,790
2026-07-30 11:00:00,980,48.9,20,0.94,890
2026-07-30 12:00:00,1010,51.0,25,0.92,920
2026-07-30 13:00:00,920,49.2,40,0.80,780
2026-07-30 14:00:00,790,46.5,50,0.71,630
2026-07-30 15:00:00,610,42.2,55,0.63,490
2026-07-30 16:00:00,400,37.5,60,0.51,310
2026-07-30 17:00:00,180,32.0,45,0.36,150
2026-07-30 18:00:00,30,26.0,30,0.09,20
2026-07-30 19:00:00,0,23.5,20,0.00,0
