timestamp,intersection_id,vehicle_count_per_hr,avg_speed_kmh,weather_condition,is_peak_hour,signal_green_sec,congestion_index,ev_charging_count,is_anomaly
2026-07-29 00:00:00,INT_ALPHA_CBD,180,48.5,SUNNY,0,30,0.18,12,0
2026-07-29 01:00:00,INT_ALPHA_CBD,120,52.1,SUNNY,0,25,0.12,8,0
2026-07-29 02:00:00,INT_ALPHA_CBD,90,55.0,SUNNY,0,20,0.08,5,0
2026-07-29 03:00:00,INT_ALPHA_CBD,85,56.2,CLOUDY,0,20,0.07,4,0
2026-07-29 04:00:00,INT_ALPHA_CBD,150,50.0,CLOUDY,0,25,0.15,10,0
2026-07-29 05:00:00,INT_ALPHA_CBD,340,42.0,SUNNY,0,35,0.34,22,0
2026-07-29 06:00:00,INT_ALPHA_CBD,680,31.5,SUNNY,1,45,0.65,45,0
2026-07-29 07:00:00,INT_ALPHA_CBD,950,22.0,SUNNY,1,60,0.88,68,0
2026-07-29 08:00:00,INT_ALPHA_CBD,1250,15.2,SUNNY,1,75,0.96,92,0
2026-07-29 09:00:00,INT_ALPHA_CBD,1100,18.5,CLOUDY,1,70,0.91,85,0
2026-07-29 10:00:00,INT_ALPHA_CBD,820,28.0,CLOUDY,0,50,0.72,60,0
2026-07-29 11:00:00,INT_ALPHA_CBD,750,32.0,SUNNY,0,45,0.68,55,0
2026-07-29 12:00:00,INT_ALPHA_CBD,890,26.5,SUNNY,0,55,0.78,70,0
2026-07-29 13:00:00,INT_ALPHA_CBD,840,29.0,RAINY,0,50,0.82,65,0
2026-07-29 14:00:00,INT_ALPHA_CBD,790,31.0,RAINY,0,45,0.75,58,0
2026-07-29 15:00:00,INT_ALPHA_CBD,920,24.0,CLOUDY,1,60,0.85,76,0
2026-07-29 16:00:00,INT_ALPHA_CBD,1180,16.0,SUNNY,1,75,0.94,88,0
2026-07-29 17:00:00,INT_ALPHA_CBD,1350,12.5,SUNNY,1,80,0.99,98,0
2026-07-29 18:00:00,INT_ALPHA_CBD,1280,14.0,SUNNY,1,75,0.97,94,0
2026-07-29 19:00:00,INT_ALPHA_CBD,980,21.0,CLOUDY,1,60,0.86,78,0
2026-07-29 20:00:00,INT_ALPHA_CBD,710,34.0,CLOUDY,0,45,0.62,52,0
2026-07-29 21:00:00,INT_ALPHA_CBD,520,40.0,SUNNY,0,35,0.48,38,0
2026-07-29 22:00:00,INT_ALPHA_CBD,380,45.0,SUNNY,0,30,0.35,26,0
2026-07-29 23:00:00,INT_ALPHA_CBD,240,49.0,SUNNY,0,25,0.22,16,0
2026-07-30 00:00:00,INT_BETA_IND,190,47.0,SUNNY,0,30,0.19,14,0
2026-07-30 01:00:00,INT_BETA_IND,130,51.0,SUNNY,0,25,0.13,9,0
2026-07-30 02:00:00,INT_BETA_IND,1450,11.0,STORMY,0,30,0.99,99,1
2026-07-30 03:00:00,INT_BETA_IND,92,54.0,SUNNY,0,20,0.09,6,0
2026-07-30 04:00:00,INT_BETA_IND,160,49.0,SUNNY,0,25,0.16,11,0
2026-07-30 05:00:00,INT_BETA_IND,410,39.0,SUNNY,0,35,0.40,28,0
2026-07-30 06:00:00,INT_BETA_IND,790,28.0,CLOUDY,1,55,0.72,55,0
2026-07-30 07:00:00,INT_BETA_IND,1120,18.0,CLOUDY,1,70,0.92,82,0
2026-07-30 08:00:00,INT_BETA_IND,1310,13.0,SUNNY,1,80,0.98,95,0
2026-07-30 09:00:00,INT_BETA_IND,1050,20.0,SUNNY,1,65,0.89,80,0
2026-07-30 10:00:00,INT_BETA_IND,860,26.0,SUNNY,0,50,0.75,64,0
2026-07-30 11:00:00,INT_BETA_IND,780,30.0,CLOUDY,0,45,0.69,57,0
2026-07-30 12:00:00,INT_BETA_IND,910,25.0,CLOUDY,0,55,0.80,72,0
2026-07-30 13:00:00,INT_BETA_IND,870,27.0,RAINY,0,50,0.83,67,0
2026-07-30 14:00:00,INT_BETA_IND,810,29.0,RAINY,0,45,0.76,60,0
2026-07-30 15:00:00,INT_BETA_IND,960,22.0,CLOUDY,1,60,0.87,79,0
2026-07-30 16:00:00,INT_BETA_IND,1210,15.0,SUNNY,1,75,0.95,90,0
2026-07-30 17:00:00,INT_BETA_IND,1380,11.5,SUNNY,1,85,1.00,99,0
2026-07-30 18:00:00,INT_BETA_IND,1300,13.5,SUNNY,1,80,0.98,96,0
2026-07-30 19:00:00,INT_BETA_IND,1010,19.5,CLOUDY,1,65,0.87,81,0
2026-07-30 20:00:00,INT_BETA_IND,740,32.0,CLOUDY,0,45,0.64,54,0
2026-07-30 21:00:00,INT_BETA_IND,550,38.0,SUNNY,0,35,0.50,40,0
2026-07-30 22:00:00,INT_BETA_IND,400,43.0,SUNNY,0,30,0.37,28,0
2026-07-30 23:00:00,INT_BETA_IND,260,47.0,SUNNY,0,25,0.24,18,0
